Node_id ; adjacency_list
794505051 > [937429544, 2556848753]
2154659948 > [2154659946, 2154659940]
2154659946 > [2154659913, 2154659948]
2308213148 > [2308213160]
2154659940 > [2154659948, 2154659907]
2308213149 > [2308213146, 2308213157]
2308213146 > [2308213149]
2308213147 > [2308213152, 2144031585]
2308213125 > [1877319967]
2308213121 > [2144031542, 2144031550]
2308213122 > [2144031560, 2144031553]
2308213135 > [2144031572, 2308213130]
2308213130 > [2308213135, 2144031561]
2308213173 > [2308213162, 2308213174]
2308213174 > [2308213173, 2308213175]
2308213175 > [2308213174, 2144031603]
2154659913 > [2154659912, 2154659946]
2154659912 > [2154659850, 2154659913]
2308213169 > [2308213166, 2308213170]
2308213170 > [2308213169, 2308213171]
2308213171 > [2308213170]
2308213176 > [2144031603, 2144031606]
2308213177 > [2144031606, 2144031609]
2154659907 > [2154659940, 2154659880]
2308213157 > [2308213149, 2308213158]
2308213158 > [2308213157, 2308213163]
2308213152 > [2308213154, 2308213147]
2308213154 > [2308213155, 2308213152]
2308213155 > [2308213154]
2308213164 > [2308213160, 2308213166]
2308213166 > [2308213164, 2308213169]
2308213160 > [2308213148, 2308213164]
2308213162 > [2144031579, 2308213173]
2308213163 > [2308213158]
3240935788 > [3240935789, 3240935785]
3240935789 > [3240935795]
3240935790 > [3240935789]
3240935784 > [3240935785, 3240935772]
2154659880 > [1534418501, 1534418512]
3240935785 > [3240935788, 3240935784]
1524390548 > [765051887, 765051389]
2081717336 > [2081717346, 2081717327]
3240935779 > [3240935764]
1524390540 > [2404351199, 4763690229]
2081717317 > [2081717319, 2081717314]
2081717319 > [2081717325, 2081717317]
2081717314 > [2081717317]
1524390539 > [346093048, 2041362121]
2081717324 > [2081717327, 2081717325]
2081717325 > [2081717324, 2081717319]
1357336766 > [1357336158, 1357337384]
3240935797 > [3240935799, 3240935795]
2081717327 > [2081717336, 2081717324]
3240935799 > [3240935797]
2081717321 > [2165696576]
3240935795 > [3240935797, 3240935789]
2081717364 > [2081717365, 2081717367]
2081717365 > [2081717369, 2081717364]
2081717367 > [2081717364, 2081717371]
2224784632 > [2679900666]
2081717361 > [2081717363, 2081717352]
356390232 > [3022830950]
2081717363 > [2081717357, 2081717361]
2154659850 > [2404351220, 2154659912]
2081717373 > [2081717374, 2081717370]
2081717374 > [2081717377, 2081717373]
2081717375 > [2081717371, 2081717378]
2081717368 > [2081717385]
2081717369 > [2081717370, 2081717365]
2081717370 > [2081717373, 2081717369]
2081717371 > [2081717367, 2081717375]
3240935772 > [3240935784]
2081717346 > [2081717352, 2081717336]
3240935764 > [3240935779, 3240935645]
2081717357 > [419749684, 2081717363]
2081717352 > [2081717361, 2081717346]
1357336728 > [1357336121, 1357336440]
2081717397 > [2081717395, 2081717398]
2241627421 > [2241627409, 2241627429]
2081717398 > [2081717397, 2081717399]
2081717399 > [2081717398, 2081717379]
2241627423 > [2241627414, 2241627435]
2241627416 > [2241627407, 2241627408]
2081717393 > [2081717401, 2081717388]
2081717394 > [2081717389, 2081717395]
2241627418 > [2241627425, 2241627406]
2081717395 > [2081717394, 2081717397]
2081717404 > [2081717401]
2241627412 > [2241627428, 2241627411]
2081717405 > [2024310814]
2241627414 > [2241627423]
2081717407 > [2081717415, 2081717408]
2081717400 > [2081717408, 2081717390]
2241627408 > [2241627416, 2241627409]
2081717401 > [2081717404, 2081717393]
2241627409 > [2241627408, 2241627421]
1357336682 > [1357336066, 1357336379]
2241627411 > [2241627412, 2241627407]
2241627404 > [2241627406, 2241627414]
2081717381 > [2081717378]
457317328 > [357390716, 357390719]
2241627406 > [2241627418, 2241627404]
2241627407 > [2241627411, 2241627416]
2081717377 > [419749679, 419749676]
2081717378 > [2081717375, 2081717381]
2081717379 > [2081717399]
457317338 > [457317337, 457317339]
2081717388 > [2081717393, 2081717389]
457317339 > [457317338, 457317340]
2081717389 > [2081717388, 2081717394]
2081717390 > [2081717400, 2081717385]
457317337 > [457317309, 457317338]
1357336699 > [1357336982, 1357337313]
2081717385 > [2081717390, 2081717368]
457317340 > [457317339, 457317290]
457317341 > [457311503, 2945294614]
3240935820 > [429333192, 3240935821]
2241627453 > [2241627462, 2241627445]
3240935821 > [3240935820, 3240935822]
